<<<<<<< HEAD
audio_path,sentence,language
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_39676916.mp3,La cible du quotidien sont les gens de vingt à quarante-neuf ans.,fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_24665206.mp3,Le fonds a aussi agi dans les secteurs miniers et industriels.,fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_19663891.mp3,Le paige Bouton soixante-cinq cinquante-huit.,fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/en/clips/common_voice_en_497761.mp3,Now what are you going to do?,en
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/en/clips/common_voice_en_508554.mp3,"""Exactly,"" answered the alchemist.",en
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/en/clips/common_voice_en_554218.mp3,I just want to dream about Mecca.,en
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_24324644.mp3,La mélodie est inspirée du morceau ' de Kenny Dorham.,fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/en/clips/common_voice_en_622379.mp3,But all she really ever wanted was a home.,en
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/en/clips/common_voice_en_53452.mp3,I myself heard nothing of that.,en
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_22021498.mp3,La même année a lieu le troisième Congrès de la Seconde internationale à Zurich.,fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/en/clips/common_voice_en_480118.mp3,Jim thinks it's Morgan.,en
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_19166136.mp3,Cette action fut perçue comme une provocation par le gouvernement salvadorien.,fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_39570871.mp3,"Organisée au Gabon, elle est remportée par le Gabon.",fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_19605369.mp3,"Mais rapidement, Joel est mal à l'aise.",fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_19860407.mp3,Elle est désormais reconnue comme une race à part entière à l'échelle européenne.,fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_19692569.mp3,Clickair commença ses opérations le avec sur depuis Barcelone.,fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_19234211.mp3,Les nageoires pectorales sont noires et avec une bande jaunâtre au milieu.,fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/en/clips/common_voice_en_18456139.mp3,Why is the public so apathetic?,en
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_24151596.mp3,"Est-ce oubli des géographes, est-ce omission volontaire ?",fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/en/clips/common_voice_en_560094.mp3,Boards will warp unless kept dry.,en
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/en/clips/common_voice_en_509479.mp3,And when they do I get mad.,en
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/en/clips/common_voice_en_78664.mp3,They went to the kitchen at the back of the monastery.,en
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/en/clips/common_voice_en_18840052.mp3,"The town is a bathing resort, as is Elisenlund close by.",en
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/fr/clips/common_voice_fr_22417612.mp3,"Le château sert de résidence aux sires, puis ducs de Bourbon.",fr
C:/Users/Minfo/Desktop/S2/DeepLearning/projet/cv-corpus-21.0-2025-03-14/en/clips/common_voice_en_504718.mp3,"The beer was more than just refreshing, it was delicious.",en
